RK,YEAR,PLAYER,TEAM,CONF,MIN%,PRPG!,BPM,ORTG,USG,EFG,TS,OR,DR,AST,TO,BLK,STL,REB,PTS
39,Sr,Gabe Kalscheur,Iowa St.,B12,83,2.4,3.7,103.4,20.2,50.4,52.6,2.1,7.5,9.3,16.1,0.9,2.6,2.5,12.9
40,So,Rayshon Harrison,Grand Canyon,WAC,82.9,4.5,3,110.4,30.4,49.8,55.6,2.5,11.7,25.5,15.6,0.6,1.1,4,17.7
41,Sr,Jaime Jaquez Jr.,UCLA,P12,82.6,4.6,9.1,112.7,26.9,50.5,54,9.2,20.1,14.3,12.4,2.3,2.6,8.1,17.3
42,Jr,Isaiah Wong,Miami FL,ACC,82.6,4.4,5.3,117.4,24,52.6,58.3,3.7,11.5,18.4,14.8,1.4,2.4,4.3,16.2
43,Jr,Steven Ashworth,Utah St.,MWC,82.5,5.7,8.9,128.6,21.9,61.1,66.1,1.3,9.8,26.4,13.9,0.1,2.1,3.2,16.3
44,Sr,Kihei Clark,Virginia,ACC,82.4,3,3.4,108.4,22.2,47.2,53.5,1.6,8.4,33,17.2,0.5,2.1,2.6,10.9
45,Sr,Boogie Ellis,USC,P12,82.3,4.9,6.8,114.8,25.7,53.6,58.1,1.2,10.5,19.5,12.7,0.7,2.5,3.7,18
46,Sr,Kyle Bowen,Saint Mary's,WCC,82.2,2.3,5.9,123,9.8,53.5,54.1,8.1,18.5,8.6,13.3,3,2.2,7.2,5.3
47,Sr,Malique Jacobs,Kent St.,MAC,81.8,1.4,3.8,95.8,26,41.8,46.5,5.5,12.9,20.6,18.5,3.2,4.6,5.2,13
48,Jr,Colby Jones,Xavier,BE,81.7,4.1,6.6,114.6,22,57.6,59.2,4.8,13.4,21.8,17.5,1.5,2.3,5.4,15.2
49,Sr,Hakim Hart,Maryland,B10,81.4,3.8,6.1,120.2,17.9,55.5,59.8,2.9,12.9,15.6,13.5,0.6,2.1,4.2,11.5
50,Jr,Jamal Shead,Houston,Amer,81.1,3.1,6.4,111.6,20.2,48.3,50.6,2.1,8.4,29.3,18.2,0.8,3.4,3,10.3
51,Sr,Kenan Blackshear,Nevada,MWC,81,2.7,2.2,98.9,28.1,46.9,53.4,1.8,12.4,30.2,20.2,1.1,2.8,4.1,14.4
52,Fr,Gradey Dick,Kansas,B12,80.9,3.8,6.5,114.4,19.2,54.7,58.2,3.4,13.4,9,11.5,0.9,2.5,4.9,14.1
53,Sr,Baylor Scheierman,Creighton,BE,80.6,3,6.5,107.6,21.2,53.8,56.7,3.5,24.6,18,18.1,0.7,2,8.4,12.8
54,Jr,Davonte Davis,Arkansas,SEC,80.6,1.6,2.7,98.6,18.1,48.4,50.4,2.3,12.3,14.3,18.8,0.4,2.4,4.2,10.5
55,Jr,Tyler Kolek,Marquette,BE,80.4,4.9,8.7,120.7,23.8,54.8,58.9,2.9,12.4,39.7,17.6,0.5,3.2,4.2,13.3
56,Jr,Coleman Hawkins,Illinois,B10,80.2,2,4.8,102.9,18.9,50.9,52.3,7,15,17.2,22,3.7,1.8,6.3,9.9
57,So,JP Pegues,Furman,SC,80,2.2,0.4,109.4,20.7,51.3,53.5,1.4,13,21.9,15.4,0.6,1,3.8,12
58,Sr,Tyger Campbell,UCLA,P12,79.9,3.7,5.8,110.1,24.2,45.2,49.6,1.8,7.8,26.9,12.5,0,2.2,2.6,13.6
59,Sr,Nelly Cummings,Pittsburgh,ACC,79.8,2.8,0.6,111.4,20.1,51,55.5,1.1,7.9,27.7,19.7,0.1,1.3,2.6,11
60,Sr,Jaren Holmes,Iowa St.,B12,79.5,2.5,2.6,98.2,25.8,44.2,47.5,2.8,12.4,21.2,16.8,0.5,2.1,3.7,13.4
61,Jr,Blake Hinson,Pittsburgh,ACC,79.4,3.1,2.8,110.2,23.6,54.6,56.8,5.6,16.4,7.9,14,1.8,1.2,6.2,15.6
62,So,Tucker DeVries,Drake,MVC,79.4,4.1,7.1,114,27.1,53.9,58.3,3.4,15.7,11.1,10.4,0.8,1.8,5.6,19
63,Sr,Ryan Langborg,Princeton,Ivy,79.2,1.6,0.3,103.6,19.3,49.8,53.9,1.2,9.7,9.2,15.7,1.8,1.2,3,12.1
64,Jr,Chris Youngblood,Kennesaw St.,ASun,79.2,3.3,4.2,118.1,20.6,55.7,59.8,4.9,11.8,11.9,12.1,1.3,1.7,4.8,14.7
65,Sr,Drew Timme,Gonzaga,WCC,79.1,5.6,8.4,120,30,62.2,63.1,9,18,18.6,15.3,3.1,1.2,7.3,20.9
66,Jr,Issac McBride,Oral Roberts,Sum,79.1,2.6,1,118.8,16.9,57.7,60,0.7,8.1,13.3,12,0,1.4,2.7,11.9
67,Fr,Braeden Smith,Colgate,Pat,79.1,2.8,1.2,115,20.6,54.6,60,0.9,13,22.8,17.8,0.2,2.3,3.8,11.8
68,Sr,Tosan Evbuomwan,Princeton,Ivy,79,3.3,4.1,107.2,28.6,53.2,55.8,5.8,16,31.6,19.8,1.9,1.4,6.2,15
69,Jr,Nelly Junior Joseph,Iona,MAAC,79,3.3,3.2,112.9,24.3,55.1,57.6,13.1,20.9,6.9,14.5,5.2,2.3,9.4,15.1
70,Sr,Alex Ducas,Saint Mary's,WCC,78.8,3.5,7,120.3,18.2,56,59,4.3,12.8,5.6,11.5,1.5,1.7,4.2,12.5
71,Sr,Jamarius Burton,Pittsburgh,ACC,78.7,4,3.5,112.5,25.5,52.1,56.4,4.8,11.3,26.9,17.3,0.4,1.6,4.8,15.6
