RK,YEAR,PLAYER,TEAM,CONF,MIN%,TS,OR,DR,AST,TO,BLK,STL,FTR,AST,REB,PTS
98,Sr,CJ Penha Jr.,Boston College,ACC,34.7,55.4,3.6,14.5,4.7,11.3,1.8,2.1,20,0.4,2.5,6.3
99,Fr,Chas Kelley,Boston College,ACC,33.2,43.7,0.8,6.6,15.5,23.3,1.6,1.5,12.6,1.2,0.9,2.9
100,Sr,Rodney Howard,Georgia Tech,ACC,32.5,56,10.3,14.9,11.6,25.7,2.9,0.7,23,1.2,4.3,4.5
101,Jr,Lynn Kidd,Virginia Tech,ACC,32,65.3,9.6,22.7,9.8,15.9,3.8,1.3,25.4,0.6,3.5,5.1
102,Jr,Puff Johnson,North Carolina,ACC,31.9,49.5,7.5,11.1,4.2,8.7,0.2,2.2,40.9,0.4,2.7,4.1
103,Fr,Josh Beadle,Clemson,ACC,31.2,41.3,0.6,8,11.5,28.1,1.7,1.3,13.4,0.9,1,2.3
104,So,Harlond Beverly,Miami FL,ACC,31.1,57.6,0.9,10.3,15.1,24.2,0.5,2.8,33.7,1.2,1.2,3.7
105,So,Jaylen Blakes,Duke,ACC,30.5,47.5,2.6,10.2,16.9,16.5,1.3,2.6,39.8,1.4,1.6,3.6
106,Fr,Ryan Dunn,Virginia,ACC,29.9,56.2,6.1,22.4,4,18.7,10.7,2,37.3,0.3,2.9,2.6
107,Jr,Greg Gantt,North Carolina St.,ACC,29.2,47.4,8.7,20.5,3.1,19.8,2.7,2.8,16.7,0.4,4.5,2
108,So,Ernest Ross,North Carolina St.,ACC,28.8,54.2,8.5,15.9,3.9,16.8,7.5,2.1,50,0.3,2.5,3.6
109,So,Naheem McLeod,Florida St.,ACC,28.7,52.9,10.4,14.1,2.7,13.6,10.4,0.2,37.2,0.2,2.7,3.8
110,Fr,Dillon Hunter,Clemson,ACC,28.7,36.4,1.3,10.1,16.7,25.4,0.3,2.2,26.8,1.2,1.2,1.4
111,So,Ben Middlebrooks,Clemson,ACC,27.9,55.9,12.4,16.1,5.8,16.4,4.1,2.9,59.5,0.4,2.7,3.2
112,Fr,Chandler Jackson,Florida St.,ACC,27.2,50.5,4.1,9.4,21,18.4,1.7,3.2,27.2,1.3,1.3,3.6
113,Sr,Symir Torrence,Syracuse,ACC,26.9,53.1,2.1,12.2,24.8,28,0.4,2.9,18.8,1.6,1.5,2.4
114,Jr,Anthony Walker,Miami FL,ACC,25.6,46.7,4.9,10,5,14.9,1.3,1.4,22.2,0.3,1.3,2.9
115,Fr,Seth Trimble,North Carolina,ACC,23.9,49.4,1,8.3,11.2,27.8,2.8,1.1,70.5,0.6,0.8,1.8
116,Jr,Ebenezer Dowuona,North Carolina St.,ACC,23.6,47,7.3,13.4,0.5,11.6,8.8,0.9,33.3,0,2,1.7
117,Fr,RJ Godfrey,Clemson,ACC,23,62.4,8.8,16.9,6.9,25.1,6.5,1.5,36.6,0.3,2.1,3.3
118,Fr,Guillermo Diaz Graham,Pittsburgh,ACC,22.7,55.6,15.3,17.5,10.8,19.8,6.8,2.7,63.1,0.6,2.9,3.1
119,Jr,Cam'Ron Fletcher,Florida St.,ACC,22.7,48,7,24,7.8,17.6,2.4,2.6,17.3,1.1,7.5,10.8
120,Jr,Mylyjael Poteat,Virginia Tech,ACC,22,70.2,11.8,15.2,6.1,17,1.8,1,126.9,0.3,2,3.5
